"Product Name","Collection Name","Serial No","Fabric Type","Stock","PO Pending Qty"
"INK-463005-AF900-DOUBLE XL(240X330CMS)-RG2505224","RUGS 2020","497","-","1","0"
"OMEGA-40003-OJ8 O-XL-RG2506599","RUGS 2024","4675","-","1","0"
"OMEGA-28001-OJ8 X-L-RG2705890","RUGS 2024","4664","-","1","0"
"ATHENA-474709-JD000-O 230-RG2703729","SOLACE","5755","-","1","0"
"SAPPHIRE-71351-13-EXTRA LARGE(200X290CMS-RG2505811","RUGS 2022","2688","-","1","300"
"CHARM-474299-JD620-DOUBLE XL(240X330CMS)-RG2504329","RUGS 2024","4114","-","1","0"
"AMERY-86-UJ5 G-EXTRA LARGE(200X290CMS)-RG2504019","RUGS 2023","3014","-","1","0"
"BED SHEET SET P0041-VINE-PUMICE STONE KI-MU1300605","ORIGINS","349","-","1","4"
"BED SHEET SET P007-WILD FOLIAGE KING 274-MU1300862","SANSAAR PLAINS","106","-","1","4"
"BED IN A BAG MOM 068-BLOOMSBURY-ISLAND F-MU1300027","MOMENTS","27","-","1","7"
"SAMPLE.DECO-6329C00-POL.  D.GREY / STERL-RG2706130","RUGS SAMPLE","21","-","1","0"
"SAMPLE.OMEGA-4156-YR9 B-L-RG2706205","RUGS SAMPLE","96","-","1","0"
"CHARM-473212-AK500-EXTRA LARGE(200X290CM-RG2504359","RUGS 2022","2648","-","1","0"
"PILLOW COVER P002-GLACIER PILLOW 68X46 C-MU1300762","SANSAAR PLAINS","54","-","1","4"
"SAMPLE.DECO-7181C00-BRICH /  DARK GOLD-L-RG2706132","RUGS SAMPLE","23","-","1","0"
"CHARM-474317-JD503-M-RG2706022","RUGS 2024","4778","-","1","0"
"ORBIT-54010-YR9 V-L-RG2705742","SOLACE","5388","-","1","0"
"BED SHEET SET ER 105-FLORENCE-LAUREL OAK-MU1300492","CHARM","9","-","1","4"
"TOUCH-71301-66-LARGE(160X230CMS)-RG2705569","RUGS","24","-","1","0"
"BED SHEET SET JQD007-ECHO-BRIGHT WHITE K-MU1301156","JACQUARD ESSENTIALS","7","-","1","4"
"BED SHEET SET PBD 016-FLORELLE-MAUVEGLOW-MU1302486","IMPRESSIONS","12","-","1","0"
"RE-MIX-40914-30-MEDIUM(120X170CMS)-RG2704875","RUGS 2021","1180","-","1","0"
"CUBIS-54005-GB4 X-DOUBLE XL(240X340CMS)-RG2504968","RUGS 2024","4266","-","1","0"
"CHARM-473230-AK101-SMALL(80X140CMS)-RG2504398","RUGS 2022","2955","-","1","0"
"STELLAR-823-DW6-K-EXTRA LARGE(200X290CMS-RG2506090","RUGS 2022","2139","-","1","0"
"DUVET SET P0041-VINE-CELADON DOUBLE 228X-MU1300596","ORIGINS","340","-","1","4"
"RAVYA-71003-NJ1 O-XXL-RG2505348","SOLACE","5430","-","1","0"
"LIGHT XANADU-8020-LO6-S-LARGE(160X230CMS-RG2704922","RUGS 2021","1444","-","1","0"
"SIERRA-45614-000-SMALL(80X140CMS)-RG2505862","RUGS","894","-","1","0"
"CHARM-474269-JD000-DOUBLE XL(240X330CMS)-RG2504715","RUGS 2024","4094","-","1","0"
"ONDINE-12706-910-O 230-RG2705434","SOLACE","5763","-","1","300"
"AUSTIN-2525-OJ8-E-MEDIUM(120X170CMS)-RG2703758","RUGS 2021","1313","-","1","0"
"OMEGA-912526-OJ8 B-XXL-RG2506632","RUGS 2024","4741","-","1","0"
"COMFORTER-350 GSM CDQ 023-FURROW-SAND-PI-MU1302472","MOMENTS","171","-","1","0"
"EDEN-66512-960-MEDIUM(120X170CMS)-RG2704844","RUGS","95","-","1","0"
"ROSSINI-8026-BO1 C-SMALL(80X150CMS)-RG2505649","RUGS 2020","513","-","1","0"
"TOSCA-4852C00-COTTON-TERRACOTTA-XL-RG2504845","NOVA","5069","-","1","0"
"ADINA-49092-C9F X-XL-RG2504004","SOLACE","5274","-","1","0"
"ATHENA-474309-002-XXL-RG2504073","SOLACE","5625","-","1","0"
"CHARM-474303-JD500 - OVAL-OVAL(O 230CMS)-RG2704002","RUGS 2024","4117","-","1","0"
"QUARTZ-69301-60-LARGE(160X230CMS)-RG2704811","RUGS 2022","2772","-","1","0"
"HANA-55004-YD6 O-DOUBLE XL(240X340CMS)-RG2504963","RUGS 2023","3345","-","1","0"
"RAVYA-530-NJ1 J-XXL-RG2505345","SOLACE","5425","-","1","0"
"ONDINE-12416-28910-D 160-RG2705394","SOLACE","5692","-","1","300"
"SAMPLE.MINERAL-50507-YT5 J-L-RG2706148","RUGS SAMPLE","39","-","1","0"
"BED SHEET SETPBD 056-RIPPLE-ALLOYKING 27-MU1303735","RHYTHM","20","-","1","0"
"SAPPHIRE-71351-99-MEDIUM(120X170CMS)-RG2705249","RUGS 2022","2756","-","1","0"
"DUVET SET P0038-PRISTINE-BLUE MIRAGE DOU-MU1300373","ORIGINS","184","-","1","4"
"SAMPLE.DECO-3544C00-POL.  GREY / AZURE-L-RG2706121","RUGS SAMPLE","12","-","1","0"
"BATIK-38119-132-MEDIUM(120X170CMS)-RG2703807","RUGS","193","-","1","300"
"OMEGA-59007-OJ8 Y-XL-RG2506607","RUGS 2024","4715","-","1","0"
"ONDINE-12416-28910-S-RG2506053","SOLACE","5687","-","1","300"
"SAMPLE.DECO-6329C00-BEIGE /  DARK GOLD-L-RG2706129","RUGS SAMPLE","20","-","1","0"
"OLBIA-5071C00-ECRU-POL.WHITE-XXL-RG2505911","SOLACE","5555","-","1","0"
"SAMPLE.DECO-7473C00-TAUPE /  DARK BEIGE--RG2706138","RUGS SAMPLE","29","-","1","0"
"ROSSINI-8125-BO1-P-MEDIUM(120X170CMS)-RG2705115","RUGS 2021","1548","-","1","0"
"LINLEY-35532-B8E I-L-RG2705840","RUGS 2024","4879","-","1","0"
"COMFORTER MOM 113-FURROW-LAVENDER-ELDERB-MU1300074","MOMENTS","74","-","1","4"
"COMFORTER MOM 107-ORNELLA-BRILLIANT WHIT-MU1300129","MOMENTS","129","-","1","4"
"BED IN A BAG MOM 075-MONTAUK-MARSHMALLOW-MU1300113","MOMENTS","113","-","1","4"
"QUARTZ-69301-60-XL-RG2505288","RUGS 2022","2773","-","1","0"
"ORBIT-54010-YR9 V-XXL-RG2506433","SOLACE","5390","-","1","0"
"AERIAL-912881-A8S F -XXL-RG2506459","NOVA","5165","-","1","0"
"DUNE-8115-UW2-X-LARGE(160X230CMS)-RG2704772","RUGS 2022","2228","-","1","0"
"AERIAL-912881-A8S D-L-RG2705780","NOVA","5158","-","1","0"
"ATHENA-474333-620-D 160-RG2703707","SOLACE","5638","-","1","0"
"SAMPLE.OMEGA-55007-YR9 W-L-RG2706211","RUGS SAMPLE","102","-","1","0"
"ATHENA-474713-JD501-O 230-RG2703731","SOLACE","5757","-","1","0"
"SAMPLE.DECO-7470C00-DARK  BEIGE / POL. G-RG2706136","RUGS SAMPLE","27","-","1","0"
"CHARM-474232-JD500-LARGE(160X230CMS)-RG2704260","RUGS 2022","1887","-","1","0"
"OPAL-71301-44A-MEDIUM(120X170CMS)-RG2705503","RUGS 2022","2806","-","1","0"
"SAMPLE.MINERAL-50507-YT5 B-L-RG2706142","RUGS SAMPLE","33","-","1","0"
"B071454P-P-FR-140PLAIN79766PLAIN-CU0106672","FORECAST","90","-","1","300"
"BED IN A BAG MOM 057-LOZENGE-FRENCH OAK--MU1300107","MOMENTS","107","-","1","4"
"OLBIA-5229C00-POL.WHITE-IVORY-XL-RG2505892","SOLACE","5564","-","1","0"
"BEDDING GIFT SET BGS 047-VINEYARD-TIMBER-MU1301748","AMARA","29","-","1","4"
"SAMPLE.DECO-7471C00-BLACK /  BRICH-L-RG2706137","RUGS SAMPLE","28","-","1","0"
"HIGHFIELD-1330-OV1-B-MEDIUM(120X170CMS)-RG2704673","RUGS 2021","1378","-","1","300"
"CHARM-473222-AK000-SMALL(80X140CMS)-RG2504360","RUGS 2022","2925","-","1","0"
"DUVET COVER SET TOB023-ENZO-SAND DOUBLE-MU1301038","LUXE LAYERS","13","-","1","4"
"DUVET COVER P009-PURPLE DOUBLE 228X274 C-MU1300999","SANSAAR PLAINS","176","-","1","4"
"HIGH FIELD-720-OV1-B-LARGE(160X230CMS)-RG2704659","RUGS 2020","336","-","1","0"
"CHARM-474314-JD991-M-RG2706020","RUGS 2024","4768","-","1","0"
"PRISMA-47005-260-MEDIUM(120X170CMS)-RG2704730","RUGS 2021","1116","-","1","0"
"CUBIS-4440-GB4-H-DOUBLE XL(240X340CMS)-RG2504957","RUGS 2022","2405","-","1","0"
"HIGH FIELD-822-OV1-X-EXTRA LARGE(200X290-RG2505101","RUGS 2020","352","-","1","0"
"CASSIA-4642C00-DARK TAUPE-CHARCOAL-XXL-RG2504618","NOVA","5010","-","1","0"
"BED SHEET SET P002-CEMENT KING 274X274 C-MU1300717","SANSAAR PLAINS","31","-","1","4"
"BED SHEET SET ER 110-ELARA-DARK TRUFFLE-MU1300482","CHARM","4","-","1","4"
